STRUCTURE,STRUCTURE_ID,freq: Time frequency,wstatus: Labour force and employment status,sex: Sex,age: Age class,unit: Unit of measure,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2010,1763.4,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2011,1785.2,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2012,1805.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2013,1825.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2014,1840.0,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2015,1855.8,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2016,1893.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2017,1918.6,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2018,1931.8,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2019,1957.2,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2020,1937.5,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2021,1932.2,b: break in time series,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2022,2000.9,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2023,2012.8,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,AT: Austria,2024,2029.3,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BA: Bosnia and Herzegovina,2021,416.7,b: break in time series,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BA: Bosnia and Herzegovina,2022,422.0,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BA: Bosnia and Herzegovina,2023,440.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BA: Bosnia and Herzegovina,2024,458.6,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BE: Belgium,2010,2002.9,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BE: Belgium,2011,2015.7,b: break in time series,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BE: Belgium,2012,2030.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,F: Females,Y20-64: From 20 to 64 years,THS_PER: Thousand persons,BE: Belgium,2013,2051.3,,
