STRUCTURE,STRUCTURE_ID,freq: Time frequency,wstatus: Labour force and employment status,sex: Sex,age: Age class,unit: Unit of measure,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT11: Burgenland,2024,125.0,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT12: Niederösterreich,2024,741.5,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT13: Wien,2024,825.4,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT21: Kärnten,2024,234.4,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT22: Steiermark,2024,546.0,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT31: Oberösterreich,2024,670.5,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT32: Salzburg,2024,255.4,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT33: Tirol,2024,352.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,AT34: Vorarlberg,2024,178.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE10: Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024,477.2,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE21: Prov. Antwerpen,2024,782.4,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE22: Prov. Limburg (BE),2024,360.5,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE23: Prov. Oost-Vlaanderen,2024,673.2,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE24: Prov. Vlaams-Brabant,2024,485.5,u: low reliability,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE25: Prov. West-Vlaanderen,2024,499.6,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE31: Prov. Brabant wallon,2024,164.3,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE32: Prov. Hainaut,2024,476.0,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE33: Prov. Liège,2024,394.6,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE34: Prov. Luxembourg (BE),2024,114.5,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BE35: Prov. Namur,2024,192.7,,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BG31: Severozapaden,2024,236.2,b: break in time series,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BG32: Severen tsentralen,2024,266.2,b: break in time series,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BG33: Severoiztochen,2024,369.7,b: break in time series,
dataflow,ESTAT:LFST_R_LFE2ESTAT(1.0),A: Annual,EMP: Employed persons,T: Total,Y25-64: From 25 to 64 years,THS_PER: Thousand persons,BG34: Yugoiztochen,2024,394.1,b: break in time series,
