STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2010,,25.9,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2011,,27.3,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2012,,27.7,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2013,,25.0,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2014,,25.8,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2015,,24.9,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2016,,25.4,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2017,,28.6,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2018,,25.8,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2019,,24.3,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2020,,23.8,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2021,,24.7,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2022,,28.2,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2023,,25.7,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,AT,Austria,2024,,23.6,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BA,Bosnia and Herzegovina,2021,,13.1,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BA,Bosnia and Herzegovina,2022,,14.3,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BA,Bosnia and Herzegovina,2023,,13.8,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BA,Bosnia and Herzegovina,2024,,16.1,,,,,
